Vendor,البائع
Last ordered items (%1),آخر الأصناف المطلوبة (%1),module,Magento_AdvancedCheckout,,,,
Products,المنتجات,module,Magento_AdvancedCheckout,,,,
ID,التعريف,module,Magento_AdvancedCheckout,,,,
SKU,رمز المنتج,module,Magento_AdvancedCheckout,,,,
Recently Compared Products (%1),آخر المنتجات المقارنة  (%1),module,Magento_AdvancedCheckout,,,,
Recently Viewed Products (%1),آخر  المنتجات المشاهدة(%1),module,Magento_AdvancedCheckout,,,,
Add to Shopping Cart by SKU,إضافة إلى عربة التسوق حسب الـ SKU,module,Magento_AdvancedCheckout,,,,
Add to Shopping Cart,اضف إلى سلة التسوق,module,Magento_AdvancedCheckout,,,,
Wish List (%1),قائمة الأمنيات (%1),module,Magento_AdvancedCheckout,,,,
Apply,تطبيق,module,Magento_AdvancedCheckout,,,,
Configure,ضبط,module,Magento_AdvancedCheckout,,,,
Add to Order by SKU,إضافة إلى الطلبات حسب الـ SKU,module,Magento_AdvancedCheckout,,,,
Add to Order,إضافة إلى الطلب,module,Magento_AdvancedCheckout,,,,
Add Products to Order,إضافة المنتجات إلى الطلب,module,Magento_AdvancedCheckout,,,,
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> المنتجات تتطلب عناية.</span>",module,Magento_AdvancedCheckout,,,,
Remove All,حذف الجميع,module,Magento_AdvancedCheckout,,,,
Only %1%2%3 left in stock,تبقى فقط %1%2%3  في المخزون,module,Magento_AdvancedCheckout,,,,
You can buy up to %1 of these per purchase.,يمكنك شراء بنسبة تصل إلى %1 من هذه المنتجات لكل عملية شراء.,module,Magento_AdvancedCheckout,,,,
You must buy at least %1 of these per purchase.,يجب عليك شراء على الأقل %1 من هذه المنتجات لكل عملية شراء.,module,Magento_AdvancedCheckout,,,,
Specify the product's options.,قم بتحديد خيارات المنتج.,module,Magento_AdvancedCheckout,,,,
Alert me when this item is available.,تنبيهي عندما يتوفر هذا العنصر.,module,Magento_AdvancedCheckout,,,,
This customer couldn't be found. Verify the customer and try again.,لم يتم العثور على هذا العميل. تحقق من العميل وحاول مرة أخرى.,module,Magento_AdvancedCheckout,,,,
Shopping cart management is disabled for this customer.,إدارة سلة التسوق لهذا الزبون غير مفعلة.,module,Magento_AdvancedCheckout,,,,
This store couldn't be found. Verify the store and try again.,لم يتم العثور على هذا المتجر. تحقق من المتجر وحاول مرة أخرى.,module,Magento_AdvancedCheckout,,,,
Customers,العملاء,module,Magento_AdvancedCheckout,,,,
Shopping Cart,سلة التسوق,module,Magento_AdvancedCheckout,,,,
"An error occurred. For details, see the error log.",حدث خطأ. للاطلاع على التفاصيل، راجع سجل الأخطاء.,module,Magento_AdvancedCheckout,,,,
You do not have access to this.,لا تملك الصلاحية للدخول.,module,Magento_AdvancedCheckout,,,,
Orders can only be completed in an active store. Verify the store and try again.,لا يمكن إتمام الطلبات إلا في متجر نشط. تحقق من المتجر وحاول مرة أخرى.,module,Magento_AdvancedCheckout,,,,
The ordered item needs to be loaded. Load the item and try again.,يجب تحميل عنصر الطلب. قم بتحميل العنصر وحاول مرة أخرى.,module,Magento_AdvancedCheckout,,,,
The quote item ID needs to be received. Set the ID and try again.,يجب استلام معرف عنصر عرض السعر. قم بتعيين المعرف وحاول مرة أخرى.,module,Magento_AdvancedCheckout,,,,
The quote item needs to be loaded. Load the item and try again.,يجب تحميل عنصر عرض السعر. قم بتحميل العنصر وحاول مرة أخرى.,module,Magento_AdvancedCheckout,,,,
The wish list item ID needs to be received. Set the ID and try again.,يجب استلام معرف عنصر قائمة الأمنيات. قم بتعيين المعرف وحاول مرة أخرى.,module,Magento_AdvancedCheckout,,,,
The wish list item needs to be loaded. Load the item and try again.,يجب تحميل عنصر قائمة الأمنيات. قم بتحميل العنصر وحاول مرة أخرى.,module,Magento_AdvancedCheckout,,,,
An error has occurred. See error log for details.,لقد حدث خطأ. راجع سجل الأخطاء للحصول على التفاصيل.,module,Magento_AdvancedCheckout,,,,
You cannot configure a product.,لا يمكنك تكوين منتج.,module,Magento_AdvancedCheckout,,,,
You removed the items.,قمت بإزالة العناصر.,module,Magento_AdvancedCheckout,,,,
You removed the item.,قمت بإزالة العنصر.,module,Magento_AdvancedCheckout,,,,
You added %1 to your shopping cart.,تمت إضافة %1 إلى عربة التسوق.,module,Magento_AdvancedCheckout,,,,
You cannot add a product.,لا يمكنك إضافة منتج.,module,Magento_AdvancedCheckout,,,,
Order by SKU,الطلب بواسطة رمز ال SKU,module,Magento_AdvancedCheckout,,,,
The SKU was not found in the catalog.,لم يتم إيجاد ال SKU داخل القسم.,module,Magento_AdvancedCheckout,,,,
Availability: Out of stock.,متوفر بالمخزن: لا.,module,Magento_AdvancedCheckout,,,,
We don't have as many of these as you want.,الكمية التي تريدها غير متوفرة.,module,Magento_AdvancedCheckout,,,,
You can't add this many to your cart.,لا يمكنك إضافة هذه الكمية إلى عربة التسوق الخاصة بك.,module,Magento_AdvancedCheckout,,,,
You need to choose options for your item.,تحتاج إلى تحديد خيارات هذا المنتج.,module,Magento_AdvancedCheckout,,,,
We can't add the item to your cart.,لا يمكن إضافة العنصر إلى عربة التسوق الخاصة بك.,module,Magento_AdvancedCheckout,,,,
"Please enter an actual number in the ""Qty"" field.","الرجاء إدخال رقم صحيح في حقل ""الكمية"".",module,Magento_AdvancedCheckout,,,,
This product is assigned to another website.,تم تعيين هذا المنتج في موقع الكتروني آخر.,module,Magento_AdvancedCheckout,,,,
You can add only enabled products.,يمكنك إضافة منتجات مخولة فقط.,module,Magento_AdvancedCheckout,,,,
You cannot upload this file.,لا يمكن تحميل هذا الملف.,module,Magento_AdvancedCheckout,,,,
The file is empty.,الملف فارغ.,module,Magento_AdvancedCheckout,,,,
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","لم تقم بإدخال رمز SKU للمنتج. الرجاء <a href=""%1""> انقر هنا</a> لإضافة المنتج من خلال رمز ال SKU.",module,Magento_AdvancedCheckout,,,,
You have not entered a product SKU.,لم تقم بإدخال رمز SKU للمنتج.,module,Magento_AdvancedCheckout,,,,
"We can't add a product to cart by id ""%1"".","لا يمكنك إضافة منتج إلى سلة التسوق من خلال رمز التعريف ""%1"".",module,Magento_AdvancedCheckout,,,,
Something went wrong while reordering this product.,حدث خطأ أثناء إعادة طلب هذا المنتج.,module,Magento_AdvancedCheckout,,,,
We can't find this wish list.,لا يمكننا ايجاد قائمة الامنيات هذه.,module,Magento_AdvancedCheckout,,,,
You added %1 product to your shopping cart.,تمت إضافة %1 منتج إلى عربة التسوق.,module,Magento_AdvancedCheckout,,,,
You added %1 products to your shopping cart.,تمت إضافة %1 منتجات إلى عربة التسوق.,module,Magento_AdvancedCheckout,,,,
%1 product requires your attention.,المنتج %1 يتطلب الاهتمام الخاص بك.,module,Magento_AdvancedCheckout,,,,
%1 products require your attention.,المنتج %1 يتطلب الاهتمام الخاص بك.,module,Magento_AdvancedCheckout,,,,
"Yes, for Specified Customer Groups",نعم، بالنسبة لمجموعات العميل المحددة,module,Magento_AdvancedCheckout,,,,
"Yes, for Everyone",نعم، بالنسبة للجميع,module,Magento_AdvancedCheckout,,,,
No,لا,module,Magento_AdvancedCheckout,,,,
The file is corrupt and can't be used.,الملف تالف ولا يمكن استخدامه.,module,Magento_AdvancedCheckout,,,,
Please upload the file in .csv format.,الرجاء تحميل ملف بتنسيق.csv.,module,Magento_AdvancedCheckout,,,,
%1 item(s) need your attention.,%1 العنصر (العناصر) بحاجة إلى الاهتمام الخاص بك.,module,Magento_AdvancedCheckout,,,,
Apply Coupon Code,تطبيق رمز قسيمة الخصم,module,Magento_AdvancedCheckout,,,,
Remove Coupon Code,إزالة رمز قسيمة الخصم,module,Magento_AdvancedCheckout,,,,
Remove,ازالة,module,Magento_AdvancedCheckout,,,,
"The coupon code ""%1"" is not valid.","رمز قسيمة الخصم""%1"" غير صحيح.",module,Magento_AdvancedCheckout,,,,
Shopping Cart Items,عناصر سلة التسوق,module,Magento_AdvancedCheckout,,,,
Qty,الكميّة,module,Magento_AdvancedCheckout,,,,
Subtotal,الإجمالي,module,Magento_AdvancedCheckout,,,,
Discount,خصم,module,Magento_AdvancedCheckout,,,,
Row Subtotal,إجمالي الصف,module,Magento_AdvancedCheckout,,,,
Action,إجراء,module,Magento_AdvancedCheckout,,,,
No ordered items,لا الأصناف المطلوبة,module,Magento_AdvancedCheckout,,,,
Total %1 product(s),%1 إجمالي المنتج (المنتجات),module,Magento_AdvancedCheckout,,,,
Subtotal:,الاجمالي,module,Magento_AdvancedCheckout,,,,
Please select,أختر من فضلك,module,Magento_AdvancedCheckout,,,,
Move to Wish List,الانتقال إلى قائمة الامنيات,module,Magento_AdvancedCheckout,,,,
No item specified.,ولا عنصر المحدد.,module,Magento_AdvancedCheckout,,,,
Are you sure you want to remove this item?,هل أنت متأكد أنك تريد حذف هذا العنصر؟,module,Magento_AdvancedCheckout,,,,
SKU number,رقم رمز المنتج,module,Magento_AdvancedCheckout,,,,
Upload File,رفع ملف,module,Magento_AdvancedCheckout,,,,
"Your csv file must include ""sku"" and ""qty"" columns.","يجب أن يتضمن ملف csv الأعمدة ""رمز المنتج"" و ""الكمية"".",module,Magento_AdvancedCheckout,,,,
Reset,اعادة ضبط,module,Magento_AdvancedCheckout,,,,
SKU: ,رمز المنتج: ,module,Magento_AdvancedCheckout,,,,
"Only <span id=""%1_max_allowed"">%2</span> in stock","فقط <span id=""%1_max_allowed"">%2</span> في المخزون",module,Magento_AdvancedCheckout,,,,
Item,سلعة,module,Magento_AdvancedCheckout,,,,
See price before order confirmation.,انظر السعر قبل تأكيد الطلب.,module,Magento_AdvancedCheckout,,,,
What's this?,ما هذا؟,module,Magento_AdvancedCheckout,,,,
Incl. Tax,شامل الضريبة,module,Magento_AdvancedCheckout,,,,
Excl. Tax,غير شامل الضريبة,module,Magento_AdvancedCheckout,,,,
Edit item parameters,تعديل خصائص المنتج,module,Magento_AdvancedCheckout,,,,
Edit,تعديل,module,Magento_AdvancedCheckout,,,,
Remove item,أزل المنتج,module,Magento_AdvancedCheckout,,,,
Products Requiring Attention,المنتجات التي تحتاج إلى اهتمام,module,Magento_AdvancedCheckout,,,,
Add to Cart,أضف لسلة التسوق,module,Magento_AdvancedCheckout,,,,
Sku,رمز المنتج,module,Magento_AdvancedCheckout,,,,
File,ملف,module,Magento_AdvancedCheckout,,,,
File extensions allowed: .csv,ملحقات الملفات المسموحة : csv,module,Magento_AdvancedCheckout,,,,
Add Row,إضافة صف,module,Magento_AdvancedCheckout,,,,
Remove Row,إزالة صف,module,Magento_AdvancedCheckout,,,,
Add Products By SKU,أضف المنتجات من خلال رمز المنتج,module,Magento_AdvancedCheckout,,,,
Shopping Cart Management,إدارة سلة التسوق,module,Magento_AdvancedCheckout,,,,
View Shopping Cart,عرض سلة التسوق,module,Magento_AdvancedCheckout,,,,
View and modify Shopping Cart,عرض وتعديل سلة التسوق,module,Magento_AdvancedCheckout,,,,
Order by SKU Settings,الترتيب حسب إعدادات رمز المنتج,module,Magento_AdvancedCheckout,,,,
Enable Order by SKU on My Account in Storefront,تمكين النظام بواسطة رمز المنتج على حسابي في الواجهة,module,Magento_AdvancedCheckout,,,,
Customer Groups,مجموعات العملاء,module,Magento_AdvancedCheckout,,,,
Apply Coupon,استخدام كوبون,module,Magento_AdvancedCheckout,,,,
Order by SKU Description,الترتيب حسب وصف رمز المنتج,module,Magento_AdvancedCheckout,,,,
Display a Link to Loading a Spreadsheet,عرض ارتباط لتحميل جدول البيانات,module,Magento_AdvancedCheckout,,,,
Defines whether a link to My Account &gt,يحدد ما إذا كان سيتم عرض رابط لصفحة حسابي > الطلب حسب رمز SKU في العنصر,يحدد ما إذا كان ارتباط إلى حسابي &gt, سيتم عرض الطلب بواسطة صفحة رمز المنتج على widget,module,Magento_AdvancedCheckout,,
Link Text,نص الارتباط,module,Magento_AdvancedCheckout,,,,
The text of the link to the My Account &gt,نص الرابط لصفحة حسابي > الطلب حسب رمز SKU,"نص الارتباط ""الحساب الخاص بي"" &gt; الترتيب حسب صفحة رمز المنتج",module,Magento_AdvancedCheckout,,,
Load a list of SKUs,تحميل قائمة بوحدات رمز المنتج,module,Magento_AdvancedCheckout,,,,
Order by SKU Template,الطلب بواسطة قالب رمز المنتج,module,Magento_AdvancedCheckout,,,,
Please correct the data sent.,الرجاء تصحيح البيانات التي تم إرسالها.,module,Magento_AdvancedPricingImportExport,,,,
Entity type model '%1' is not found,نموذج الكيان '%1' غير موجود,module,Magento_AdvancedPricingImportExport,,,,
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,قيمة الأسم المدخلة يجب أن تكون مماثلة لـ ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,module,Magento_AdvancedPricingImportExport,,,,
There are no product types available for export,لا تتوفر أي من أنواع المنتجات للتصدير,module,Magento_AdvancedPricingImportExport,,,,
%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,الفئة %1 لا تطبق \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,module,Magento_AdvancedRule,,,,
Sales Rule,قاعدة المبيعات,module,Magento_AdvancedSalesRule,,,,
Index sales rule,فهرس قاعدة المبيعات,module,Magento_AdvancedSalesRule,,,,
Related Search Terms,شروط البحث المرتبطة,module,Magento_AdvancedSearch,,,,
Add New Search Term,اضف كلمة بحث جديدة,module,Magento_AdvancedSearch,,,,
button_label,تسمية الزر,module,Magento_AdvancedSearch,,,,
Missing search engine parameter.,متغير محرك البحث مفقود.,module,Magento_AdvancedSearch,,,,
Successful! Test again?,ناجح! الاختبار مرة أخرى؟,module,Magento_AdvancedSearch,,,,
Connection failed! Test again?,فشل في الإتصال! اختبار مرة أخرى؟,module,Magento_AdvancedSearch,,,,
Enable Search Recommendations,تمكين البحث عن التوصيات,module,Magento_AdvancedSearch,,,,
When you enable this option your site may slow down.,عند تمكين هذا الخيار قد تبطئ موقع الويب الخاص بك.,module,Magento_AdvancedSearch,,,,
Search Recommendations Count,عدد توصيات البحث,module,Magento_AdvancedSearch,,,,
Show Results Count for Each Recommendation,إظهار عدد النتائج لكل توصية من التوصيات,module,Magento_AdvancedSearch,,,,
Enable Search Suggestions,تمكين اقتراحات البحث,module,Magento_AdvancedSearch,,,,
Search Suggestions Count,عد اقتراحات البحث,module,Magento_AdvancedSearch,,,,
Show Results Count for Each Suggestion,إظهار عدد النتائج لكل اقتراح,module,Magento_AdvancedSearch,,,,
Related search terms,مصطلحات البحث ذات الصلة,module,Magento_AdvancedSearch,,,,
Did you mean,هل تقصد,module,Magento_AdvancedSearch,,,,
ID,التعريف,module,Magento_AdvancedSearch,,,,
Search Query,استفسار البحث,module,Magento_AdvancedSearch,,,,
